Feature,Importance
GENHLTH,0.062165578124887745
MEDCOST1,0.008985796125532587
SLEPTIM1,0.06916290671157832
CVDINFR4,0.012682486183406167
ADDEPEV3,0.0190594925743271
RENTHOM1,0.03294297702049169
EMPLOY1,0.05001252708177719
PREGNANT,0.009464565816130355
DIFFWALK,0.01956633108690013
SDHSTRE1,0.06187501516880888
_METSTAT,0.006432995168617514
_PHYS14D,0.03811161708525866
_MENT14D,0.036600880925587005
_HLTHPLN,0.00806293075831486
_TOTINDA,0.02381324696987861
_MICHD,0.016566019657710006
_ASTHMS1,0.025096395683946688
_RACEPR1,0.0373003624518683
_SEX,0.025036793645978477
_AGE_G,0.062081395256909845
_BMI5,0.184713874550425
_EDUCAG,0.047916221996249266
_INCOMG1,0.0741739782624346
_SMOKER3,0.03998163592547541
ALCCALCCAT,0.02819397576750575
